contigs_cluasted108;size=1	lysogenic	medium quality draft
contigs_cluasted180;size=1	lysogenic	low quality draft
contigs_cluasted8548;size=2	lytic	low quality draft
contigs_cluasted10000044;size=1	lytic	low quality draft
contigs_cluasted1815;size=2	lytic	medium quality draft
contigs_cluasted424;size=1	lysogenic	medium quality draft
contigs_cluasted161;size=3	lysogenic	high quality draft
contigs_cluasted5243;size=1	lytic	low quality draft
contigs_cluasted1745;size=1	lytic	low quality draft
contigs_cluasted1773;size=1	lytic	medium quality draft
contigs_cluasted2143;size=1	lytic	low quality draft
contigs_cluasted916;size=1	lytic	low quality draft
contigs_cluasted8152;size=1	lytic	low quality draft
contigs_cluasted393;size=1	lysogenic	low quality draft
contigs_cluasted778;size=2	lysogenic	low quality draft
contigs_cluasted8634;size=1	lytic	low quality draft
contigs_cluasted238;size=4	lytic	medium quality draft
contigs_cluasted4125;size=1	lytic	low quality draft
contigs_cluasted1694;size=1	lysogenic	low quality draft
contigs_cluasted937;size=2	lysogenic	low quality draft
contigs_cluasted464;size=1	lysogenic	high quality draft
contigs_cluasted6599;size=1	lytic	low quality draft
contigs_cluasted248;size=1	lysogenic	high quality draft
contigs_cluasted660;size=2	lysogenic	high quality draft
contigs_cluasted1628;size=1	lytic	medium quality draft
contigs_cluasted362;size=1	lysogenic	high quality draft
contigs_cluasted6541;size=1	lytic	low quality draft
contigs_cluasted10000014;size=2	lytic	low quality draft
contigs_cluasted1436;size=1	lysogenic	low quality draft
contigs_cluasted6084;size=1	lytic	low quality draft
contigs_cluasted769;size=2	lytic	medium quality draft
contigs_cluasted399;size=2	lysogenic	high quality draft
contigs_cluasted7006;size=1	lytic	low quality draft
contigs_cluasted588;size=1	lysogenic	medium quality draft
contigs_cluasted454;size=1	lysogenic	high quality draft
contigs_cluasted10000063;size=2	lytic	medium quality draft
contigs_cluasted934;size=1	lytic	medium quality draft
contigs_cluasted741;size=1	lytic	medium quality draft
contigs_cluasted1918;size=1	lytic	low quality draft
contigs_cluasted5718;size=1	lytic	low quality draft
contigs_cluasted5674;size=1	lytic	low quality draft
contigs_cluasted2560;size=1	lytic	low quality draft
contigs_cluasted7355;size=1	lytic	low quality draft
contigs_cluasted10000015;size=1	lytic	medium quality draft
contigs_cluasted561;size=1	lysogenic	high quality draft
contigs_cluasted306;size=1	lytic	medium quality draft
contigs_cluasted703;size=3	lysogenic	low quality draft
contigs_cluasted7285;size=1	lytic	low quality draft
contigs_cluasted5463;size=1	lytic	low quality draft
contigs_cluasted300;size=2	lytic	medium quality draft
contigs_cluasted5675;size=1	lytic	low quality draft
contigs_cluasted8172;size=1	lytic	low quality draft
contigs_cluasted1345;size=2	lysogenic	low quality draft
contigs_cluasted6441;size=1	lytic	low quality draft
contigs_cluasted1393;size=1	lytic	low quality draft
contigs_cluasted1000;size=1	lytic	high quality draft
contigs_cluasted7867;size=1	lytic	low quality draft
contigs_cluasted5776;size=4	lytic	low quality draft
contigs_cluasted547;size=1	lysogenic	high quality draft
contigs_cluasted1414;size=1	lytic	high quality draft
contigs_cluasted5793;size=1	lytic	low quality draft
contigs_cluasted5665;size=1	lytic	low quality draft
contigs_cluasted43;size=1	lysogenic	medium quality draft
contigs_cluasted1475;size=1	lysogenic	low quality draft
contigs_cluasted5906;size=1	lytic	low quality draft
contigs_cluasted492;size=1	lysogenic	high quality draft
contigs_cluasted8327;size=1	lytic	low quality draft
contigs_cluasted6355;size=1	lytic	low quality draft
contigs_cluasted259;size=2	lysogenic	medium quality draft
contigs_cluasted941;size=1	lysogenic	medium quality draft
contigs_cluasted5704;size=1	lytic	low quality draft
contigs_cluasted6557;size=1	lytic	low quality draft
contigs_cluasted4947;size=1	lytic	low quality draft
contigs_cluasted1438;size=1	lytic	low quality draft
contigs_cluasted1324;size=1	lytic	low quality draft
contigs_cluasted714;size=1	lysogenic	medium quality draft
contigs_cluasted834;size=1	lytic	high quality draft
contigs_cluasted326;size=1	lytic	medium quality draft
contigs_cluasted2902;size=1	lytic	low quality draft
