contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted6478;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6401;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted648;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted5999;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5934;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted7625;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7570;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8287;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted5487;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Odoribacteraceae
contigs_cluasted8381;size=1	Redondoviridae	Torbevirus	Brisavirus	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7774;size=2	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6785;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted250;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6185;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted7833;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Enterobacteriaceae
contigs_cluasted7118;size=1	Microviridae	NA	Microvirus sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted6143;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted8294;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted371;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6080;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6278;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted6706;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6768;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted69;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted8343;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted6730;size=1	Microviridae	NA	Gokushovirus WZ-2015a	DNA virus	Bacteriophage	No host predicted
contigs_cluasted136;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Peptostreptococcaceae
contigs_cluasted8158;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted7867;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Vibrionaceae
contigs_cluasted100000782;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted5922;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Odoribacteraceae
contigs_cluasted205;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted100000675;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8470;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted100000597;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted1018;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8296;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted7299;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted584;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted100000388;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7884;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted100000654;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6855;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1435;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7149;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8213;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6891;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5925;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted495;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Desulfovibrionaceae
