contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted1159;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted170;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted1853;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted594;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted214;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1013;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted217;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted660;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted789;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1694;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted962;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10000042;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted428;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10000022;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted834;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted1378;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted665;size=2	Myoviridae	NA	Myoviridae sp. ctxi06	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted558;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted779;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted199;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1345;size=2	Myoviridae	NA	Myoviridae sp. ctxi06	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted418;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted116;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted706;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted169;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted526;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted211;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted2449;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted327;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted430;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1188;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted112;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1667;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted550;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted259;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted875;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000064;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted535;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted349;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted836;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2119;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted502;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted2684;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2654;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted682;size=6	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted236;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Peptostreptococcaceae
contigs_cluasted1369;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted287;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted447;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted954;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted360;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted1389;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted879;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted796;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1866;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted602;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted122;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted385;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1244;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted10000015;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted676;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted123;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10000025;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted452;size=1	Siphoviridae	NA	Streptococcus phage Javan199	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted10000069;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted782;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Selenomonadaceae
contigs_cluasted887;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2648;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted769;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted10000011;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted656;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Akkermansiaceae
contigs_cluasted10000061;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted860;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted941;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1432;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1436;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted10000053;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted439;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted898;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted248;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted7;size=5	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Mycobacteriaceae
contigs_cluasted2346;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Tissierellaceae
contigs_cluasted614;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted395;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted478;size=3	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted902;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted638;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted467;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted227;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1129;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted874;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted398;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted407;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted686;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted390;size=5	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted685;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted519;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1069;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted336;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted198;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted21;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Enterococcaceae
contigs_cluasted1611;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1644;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted1858;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted367;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted724;size=2	Siphoviridae	NA	Siphoviridae sp. ctvbt38	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted355;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted454;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted1714;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Eggerthellaceae
contigs_cluasted1068;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted773;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted784;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted671;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lactobacillaceae
contigs_cluasted1628;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted152;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted657;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Acidaminococcaceae
contigs_cluasted896;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted818;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1412;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted387;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted689;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted50;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1127;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1869;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted231;size=5	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted443;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1203;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Peptococcaceae
contigs_cluasted75;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted441;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1508;size=9	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1542;size=5	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1376;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1154;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted826;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted315;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted1632;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted1014;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted777;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted843;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted2763;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted914;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted460;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted363;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted612;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1043;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted995;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2492;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1297;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted10000021;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted294;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted696;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted486;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Desulfovibrionaceae
contigs_cluasted416;size=1	Siphoviridae	NA	Siphoviridae sp. ct4Am4	DNA virus	Bacteriophage	No host predicted
contigs_cluasted824;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted750;size=1	Siphoviridae	NA	Siphoviridae sp. ctNU74	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted886;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000019;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1307;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted643;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1705;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted997;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted2505;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1490;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacillaceae
contigs_cluasted297;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1360;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted481;size=1	Siphoviridae	NA	Siphoviridae sp. ctH1110	DNA virus	Bacteriophage	No host predicted
contigs_cluasted410;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1951;size=5	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1917;size=5	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1000008;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted524;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted934;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted400;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1262;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted652;size=4	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted642;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1234;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted1270;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted780;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted438;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted608;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted978;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted476;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted96;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted2621;size=6	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted364;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted588;size=1	Siphoviridae	NA	Ruminococcus phage phiRM10	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted333;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted18;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2469;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1256;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted611;size=1	Myoviridae	NA	Myoviridae sp. ctxi06	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted863;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2436;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1982;size=3	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Eggerthellaceae
contigs_cluasted497;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1619;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted802;size=12	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted3610;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted204;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted10000059;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1305;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted579;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted709;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted548;size=5	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1349;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted326;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted1739;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1909;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Eggerthellaceae
contigs_cluasted667;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted94;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1868;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Eggerthellaceae
contigs_cluasted3848;size=4	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted669;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted561;size=1	Siphoviridae	NA	Siphoviridae sp. ctS0613	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted133;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted389;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted354;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Peptococcaceae
contigs_cluasted581;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted885;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted713;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000034;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1289;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted5;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted514;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted1208;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted100;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted2467;size=4	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2471;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1987;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted423;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted1282;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted100000106;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted505;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1352;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted510;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted580;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
